Sheet count: 1
Sheet names: ['Sheet1']

=== Sheet: Sheet1 ===
  Rows: 391, Cols: 23
  Merged cells: ['P163:Q163', 'L91:M91', 'A166:A169', 'C144:C146', 'N91:O91', 'A286:I286', 'J19:K19', 'L19:M19', 'A30:A33', 'H55:I55', 'D90:Q90', 'A370:A373', 'A281:A284', 'A330:A333', 'A388:A391', 'A366:A369', 'A269:I269', 'A358:B360', 'D108:W108', 'T127:U127', 'V127:W127', 'D377:E377', 'A98:A101', 'C18:C20', 'C322:C324', 'P359:Q359', 'A76:A79', 'A90:B92', 'A376:B378', 'A8:A11', 'L109:M109', 'A126:B128', 'D36:S36', 'H37:I37', 'A361:B361', 'D127:E127', 'A22:A25', 'A308:A311', 'A143:U143', 'A102:A105', 'J305:K305', 'F341:G341', 'D73:E73', 'A111:B111', 'V109:W109', 'A228:F228', 'T145:U145', 'J163:K163', 'L145:M145', 'F359:G359', 'N145:O145', 'C36:C38', 'A39:B39', 'H91:I91', 'A334:A337', 'A94:A97', 'J73:K73', 'D19:E19', 'A304:B306', 'D305:E305', 'F19:G19', 'A362:A365', 'R19:S19', 'A36:B38', 'D359:E359', 'H341:I341', 'A174:A177', 'A12:A15', 'C376:C378', 'R359:S359', 'A379:B379', 'A162:B164', 'L163:M163', 'A316:A319', 'A120:A123', 'C54:C56', 'F109:G109', 'A272:B272', 'D126:W126', 'H109:I109', 'A298:A301', 'B180:B182', 'A129:B129', 'R109:S109', 'A161:U161', 'D37:E37', 'T109:U109', 'A307:B307', 'A380:A383', 'H19:I19', 'P377:Q377', 'C340:C342', 'P37:Q37', 'A156:A159', 'R377:S377', 'D144:U144', 'D323:E323', 'F323:G323', 'A165:B165', 'A322:B324', 'C90:C92', 'A93:B93', 'A130:A133', 'P127:Q127', 'H145:I145', 'R127:S127', 'J145:K145', 'A344:A347', 'A58:A61', 'N55:O55', 'A40:A43', 'P55:Q55', 'D54:Q54', 'F73:G73', 'L359:M359', 'A325:B325', 'C72:C74', 'A352:A355', 'C358:C360', 'A343:B343', 'D322:G322', 'A179:F179', 'A84:A87', 'F305:G305', 'A66:A69', 'A229:A231', 'D341:E341', 'C229:F229', 'H73:I73', 'N341:O341', 'A357:S357', 'P341:Q341', 'A75:B75', 'A108:B110', 'D163:E163', 'C108:C110', 'A80:A83', 'F163:G163', 'A273:A276', 'H163:I163', 'A3:B3', 'A326:A329', 'D340:Q340', 'A384:A387', 'D91:E91', 'R163:S163', 'A1:D1', 'F91:G91', 'A21:B21', 'T163:U163', 'P91:Q91', 'A57:B57', 'A26:A29', 'N19:O19', 'A134:A137', 'P19:Q19', 'J91:K91', 'A144:B146', 'B229:B231', 'A4:A7', 'A62:A65', 'A44:A47', 'C162:C164', 'D55:E55', 'A147:B147', 'A53:Q53', 'A72:B74', 'A375:S375', 'N359:O359', 'A290:A293', 'F377:G377', 'H377:I377', 'A48:A51', 'D109:E109', 'A170:A173', 'A321:G321', 'A148:A151', 'N109:O109', 'D18:S18', 'P109:Q109', 'A17:S17', 'J37:K37', 'A138:A141', 'L377:M377', 'L37:M37', 'A35:S35', 'F127:G127', 'N37:O37', 'N377:O377', 'A107:W107', 'H127:I127', 'J127:K127', 'A339:Q339', 'D358:S358', 'F55:G55', 'D72:O72', 'A180:A182', 'D162:U162', 'A340:B342', 'A54:B56', 'A71:O71', 'R37:S37', 'L127:M127', 'D145:E145', 'A270:B271', 'N127:O127', 'F145:G145', 'A277:A280', 'J55:K55', 'H359:I359', 'P145:Q145', 'L55:M55', 'C304:C306', 'R145:S145', 'A89:Q89', 'J359:K359', 'A2:B2', 'L73:M73', 'C126:C128', 'N73:O73', 'H305:I305', 'A18:B20', 'A116:A119', 'A294:A297', 'D304:K304', 'J109:K109', 'A303:K303', 'A112:A115', 'A312:A315', 'F37:G37', 'C180:F180', 'A348:A351', 'J341:K341', 'L341:M341', 'A152:A155', 'A287:B288', 'J377:K377', 'A125:W125', 'A289:B289', 'N163:O163', 'D376:S376']
  R1: ['응답자 일반현황', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R26: ['학년', '1학년', '233.0', '101.0', '0.43347639484978534', '157.0', '0.6738197424892703', '63.0', '0.2703862660944206', '43.0', '0.184549356223176', '36.0', '0.15450643776824036', '44.0', '0.1888412017167382', '20.0', '0.08583690987124463', '2.0', '0.008583690987124463', '', '', '', '']
  R27: ['', '2학년', '320.0', '104.0', '0.325', '226.0', '0.70625', '83.0', '0.259375', '79.0', '0.246875', '64.0', '0.2', '53.0', '0.165625', '28.0', '0.0875', '3.0', '0.009375', '', '', '', '']
  R28: ['', '3학년', '292.0', '142.0', '0.48630136986301375', '211.0', '0.7226027397260275', '74.0', '0.2534246575342466', '56.0', '0.1917808219178082', '50.0', '0.17123287671232876', '64.0', '0.2191780821917808', '36.0', '0.1232876712328767', '', '', '', '', '', '']
  R29: ['', '4학년 이상', '155.0', '53.0', '0.3419354838709678', '123.0', '0.7935483870967742', '35.0', '0.2258064516129032', '35.0', '0.2258064516129032', '11.0', '0.07096774193548387', '20.0', '0.12903225806451613', '32.0', '0.2064516129032258', '', '', '', '', '', '']
  R30: ['전공', '인문사회계열', '192.0', '78.0', '0.40625', '138.0', '0.71875', '48.0', '0.25', '45.0', '0.234375', '25.0', '0.13020833333333334', '45.0', '0.234375', '18.0', '0.09375', '1.0', '0.005208333333333332', '', '', '', '']
  R31: ['', '자연과학계열', '325.0', '124.0', '0.38153846153846155', '225.0', '0.6923076923076923', '73.0', '0.2246153846153846', '77.0', '0.23692307692307693', '63.0', '0.19384615384615383', '65.0', '0.2', '55.0', '0.16923076923076924', '1.0', '0.003076923076923077', '', '', '', '']
  R32: ['', '공학계열', '444.0', '188.0', '0.42342342342342343', '326.0', '0.7342342342342343', '128.0', '0.2882882882882883', '84.0', '0.1891891891891892', '61.0', '0.1373873873873874', '68.0', '0.15315315315315314', '41.0', '0.09234234234234234', '2.0', '0.0045045045045045045', '', '', '', '']
  R33: ['', '예체능계열', '39.0', '10.0', '0.2564102564102564', '28.0', '0.717948717948718', '6.0', '0.15384615384615385', '7.0', '0.1794871794871795', '12.0', '0.3076923076923077', '3.0', '0.07692307692307693', '2.0', '0.05128205128205128', '1.0', '0.02564102564102564', '', '', '', '']
  R34: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R35: ['취업 준비 중 느끼는 어려움(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R36: ['', '', '구 분', '취업 준비 중 느끼는 어려움(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R37: ['', '', '', '직무 관련 역량 부족', '', '자격증/어학 점수 부족', '', '경험 및 경력 부족', '', '취업 정보 부족', '', '자기소개서/면접 준비 어려움', '', '경제적 부담', '', '심리적 스트레스', '', '기타', '', '', '', '', '']
  R38: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '']
  R39: ['전 체', '', '1000.0', '353.0', '0.353', '411.0', '0.4109999999999999', '573.0', '0.573', '354.0', '0.354', '421.0', '0.42100000000000004', '78.0', '0.078', '214.0', '0.214', '9.0', '0.009', '', '', '', '']
  R40: ['소속 대학', '울산대학교', '521.0', '194.0', '0.3723608445297505', '219.0', '0.42034548944337813', '279.0', '0.5355086372360844', '203.0', '0.3896353166986565', '221.0', '0.4241842610364684', '50.0', '0.09596928982725528', '115.0', '0.22072936660268713', '3.0', '0.005758157389635317', '', '', '', '']
  R41: ['', '울산과학대학교', '256.0', '98.0', '0.3828125', '99.0', '0.38671875', '162.0', '0.6328125', '88.0', '0.34375', '111.0', '0.43359375', '17.0', '0.06640625', '59.0', '0.23046875', '1.0', '0.00390625', '', '', '', '']
  R42: ['', '춘해보건대학교', '130.0', '34.0', '0.26153846153846155', '59.0', '0.45384615384615384', '64.0', '0.49230769230769234', '50.0', '0.3846153846153847', '74.0', '0.5692307692307692', '9.0', '0.06923076923076923', '39.0', '0.3', '5.0', '0.038461538461538464', '', '', '', '']
  R43: ['', '울산과학기술원', '93.0', '27.0', '0.2903225806451613', '34.0', '0.3655913978494624', '68.0', '0.7311827956989247', '13.0', '0.13978494623655913', '15.0', '0.16129032258064516', '2.0', '0.021505376344086023', '1.0', '0.010752688172043012', '', '', '', '', '', '']
  R44: ['학년', '1학년', '233.0', '77.0', '0.33047210300429186', '88.0', '0.3776824034334764', '135.0', '0.5793991416309013', '90.0', '0.3862660944206009', '92.0', '0.3948497854077253', '11.0', '0.04721030042918455', '40.0', '0.17167381974248927', '4.0', '0.017167381974248927', '', '', '', '']
  R45: ['', '2학년', '320.0', '100.0', '0.3125', '131.0', '0.409375', '182.0', '0.56875', '102.0', '0.31875', '112.0', '0.35', '31.0', '0.096875', '58.0', '0.18125', '2.0', '0.00625', '', '', '', '']
  R46: ['', '3학년', '292.0', '121.0', '0.4143835616438356', '118.0', '0.4041095890410959', '178.0', '0.6095890410958904', '114.0', '0.3904109589041096', '146.0', '0.5', '23.0', '0.07876712328767123', '78.0', '0.2671232876712329', '1.0', '0.003424657534246575', '', '', '', '']
  R47: ['', '4학년 이상', '155.0', '55.0', '0.3548387096774194', '74.0', '0.4774193548387097', '78.0', '0.5032258064516129', '48.0', '0.3096774193548387', '71.0', '0.45806451612903226', '13.0', '0.0838709677419355', '38.0', '0.24516129032258063', '2.0', '0.012903225806451613', '', '', '', '']
  R48: ['전공', '인문사회계열', '192.0', '72.0', '0.375', '76.0', '0.39583333333333326', '105.0', '0.546875', '70.0', '0.36458333333333326', '69.0', '0.359375', '21.0', '0.109375', '38.0', '0.19791666666666663', '2.0', '0.010416666666666664', '', '', '', '']
  R49: ['', '자연과학계열', '325.0', '94.0', '0.28923076923076924', '126.0', '0.38769230769230767', '169.0', '0.52', '120.0', '0.36923076923076925', '163.0', '0.5015384615384615', '25.0', '0.07692307692307693', '91.0', '0.28', '4.0', '0.012307692307692308', '', '', '', '']
  R50: ['', '공학계열', '444.0', '173.0', '0.3896396396396396', '196.0', '0.44144144144144143', '272.0', '0.6126126126126126', '149.0', '0.3355855855855856', '179.0', '0.40315315315315314', '31.0', '0.06981981981981981', '81.0', '0.18243243243243243', '3.0', '0.006756756756756756', '', '', '', '']
  R51: ['', '예체능계열', '39.0', '14.0', '0.358974358974359', '13.0', '0.33333333333333326', '27.0', '0.6923076923076923', '15.0', '0.3846153846153847', '10.0', '0.2564102564102564', '1.0', '0.02564102564102564', '4.0', '0.10256410256410256', '', '', '', '', '', '']
  R52: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R53: ['취업 준비 중 대학에서 제공 받았으면 하는 지원 (중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R54: ['', '', '구 분', '취업 준비 중 느끼는 어려움(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R55: ['', '', '', '취업 정보 제공', '', '취업 관련 교육', '', '자격증 취득', '', '취업 맨토링/컨설팅', '', '인턴십 기회 확대', '', '취업 연계 프로그램', '', '기타', '', '', '', '', '', '', '']
  R56: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '', '', '']
  R57: ['전 체', '', '1000.0', '699.0', '0.699', '56.0', '0.05600000000000001', '97.0', '0.09700000000000002', '390.0', '0.39', '434.0', '0.434', '349.0', '0.349', '5.0', '0.005', '', '', '', '', '', '']
  R58: ['소속 대학', '울산대학교', '521.0', '341.0', '0.654510556621881', '36.0', '0.0690978886756238', '46.0', '0.08829174664107485', '200.0', '0.3838771593090211', '290.0', '0.5566218809980806', '205.0', '0.3934740882917466', '2.0', '0.003838771593090211', '', '', '', '', '', '']
  R59: ['', '울산과학대학교', '256.0', '174.0', '0.6796875', '11.0', '0.04296875', '32.0', '0.125', '97.0', '0.37890625', '84.0', '0.328125', '77.0', '0.30078125', '2.0', '0.0078125', '', '', '', '', '', '']
  R60: ['', '춘해보건대학교', '130.0', '107.0', '0.823076923076923', '9.0', '0.06923076923076923', '13.0', '0.1', '65.0', '0.5', '33.0', '0.25384615384615383', '50.0', '0.3846153846153847', '1.0', '0.007692307692307693', '', '', '', '', '', '']
  R61: ['', '울산과학기술원', '93.0', '77.0', '0.8279569892473119', '', '', '6.0', '0.06451612903225806', '28.0', '0.3010752688172043', '27.0', '0.2903225806451613', '17.0', '0.1827956989247312', '', '', '', '', '', '', '', '']
  R62: ['학년', '1학년', '233.0', '164.0', '0.703862660944206', '8.0', '0.034334763948497854', '21.0', '0.09012875536480687', '105.0', '0.45064377682403434', '80.0', '0.34334763948497854', '62.0', '0.26609442060085836', '1.0', '0.004291845493562232', '', '', '', '', '', '']
  R63: ['', '2학년', '320.0', '236.0', '0.7375', '12.0', '0.0375', '24.0', '0.075', '116.0', '0.3625', '144.0', '0.45', '95.0', '0.296875', '2.0', '0.00625', '', '', '', '', '', '']
  R64: ['', '3학년', '292.0', '213.0', '0.7294520547945206', '20.0', '0.0684931506849315', '34.0', '0.11643835616438356', '118.0', '0.4041095890410959', '120.0', '0.410958904109589', '129.0', '0.44178082191780826', '2.0', '0.00684931506849315', '', '', '', '', '', '']
  R65: ['', '4학년 이상', '155.0', '86.0', '0.5548387096774193', '16.0', '0.1032258064516129', '18.0', '0.11612903225806452', '51.0', '0.32903225806451614', '90.0', '0.5806451612903226', '63.0', '0.4064516129032258', '', '', '', '', '', '', '', '']
  R66: ['전공', '인문사회계열', '192.0', '144.0', '0.75', '11.0', '0.05729166666666666', '20.0', '0.10416666666666669', '59.0', '0.3072916666666667', '98.0', '0.5104166666666666', '58.0', '0.3020833333333333', '1.0', '0.005208333333333332', '', '', '', '', '', '']
  R67: ['', '자연과학계열', '325.0', '239.0', '0.7353846153846155', '19.0', '0.05846153846153846', '23.0', '0.07076923076923076', '151.0', '0.4646153846153846', '101.0', '0.31076923076923074', '108.0', '0.33230769230769236', '4.0', '0.012307692307692308', '', '', '', '', '', '']
  R68: ['', '공학계열', '444.0', '286.0', '0.6441441441441441', '24.0', '0.05405405405405405', '50.0', '0.11261261261261261', '169.0', '0.38063063063063063', '220.0', '0.4954954954954955', '170.0', '0.38288288288288286', '', '', '', '', '', '', '', '']
  R69: ['', '예체능계열', '39.0', '30.0', '0.7692307692307694', '2.0', '0.05128205128205128', '4.0', '0.10256410256410256', '11.0', '0.28205128205128205', '15.0', '0.3846153846153847', '13.0', '0.33333333333333326', '', '', '', '', '', '', '', '']
  R70: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R71: ['취업 준비 중 대학에서 제공 받았으면 하는 지원(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R72: ['', '', '구 분', '가장 필요한 취업 정보(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R73: ['', '', '', '채용공고 및 채용일정 정보', '', '기업별 연봉 및 복지 정보', '', '직무별 구체적인 업무 내용', '', '기업이 요구하는 자격요건 및 우대사항', '', '인턴십/현장실습 기회 정보', '', '합격자 스펙 및 면접 후기', '', '', '', '', '', '', '', '', '']
  R74: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '', '', '', '', '']
  R75: ['전 체', '', '699.0', '296.0', '0.4234620886981402', '123.0', '0.1759656652360515', '81.0', '0.11587982832618024', '81.0', '0.11587982832618024', '71.0', '0.10157367668097281', '47.0', '0.06723891273247497', '', '', '', '', '', '', '', '']
  R76: ['소속 대학', '울산대학교', '341.0', '150.0', '0.439882697947214', '52.0', '0.15249266862170088', '43.0', '0.12609970674486803', '30.0', '0.08797653958944282', '45.0', '0.13196480938416422', '21.0', '0.06158357771260997', '', '', '', '', '', '', '', '']
  R77: ['', '울산과학대학교', '174.0', '80.0', '0.45977011494252873', '27.0', '0.15517241379310345', '16.0', '0.09195402298850575', '22.0', '0.12643678160919541', '19.0', '0.10919540229885058', '10.0', '0.05747126436781609', '', '', '', '', '', '', '', '']
  R78: ['', '춘해보건대학교', '107.0', '42.0', '0.3925233644859813', '20.0', '0.18691588785046728', '10.0', '0.09345794392523364', '20.0', '0.18691588785046728', '2.0', '0.018691588785046728', '13.0', '0.12149532710280374', '', '', '', '', '', '', '', '']
  R79: ['', '울산과학기술원', '77.0', '24.0', '0.3116883116883117', '24.0', '0.3116883116883117', '12.0', '0.15584415584415584', '9.0', '0.11688311688311687', '5.0', '0.06493506493506493', '3.0', '0.03896103896103896', '', '', '', '', '', '', '', '']
  R80: ['학년', '1학년', '164.0', '66.0', '0.402439024390244', '31.0', '0.18902439024390244', '21.0', '0.12804878048780488', '21.0', '0.12804878048780488', '15.0', '0.09146341463414634', '10.0', '0.06097560975609756', '', '', '', '', '', '', '', '']
  R81: ['', '2학년', '236.0', '108.0', '0.4576271186440678', '43.0', '0.1822033898305085', '21.0', '0.08898305084745763', '29.0', '0.1228813559322034', '21.0', '0.08898305084745763', '14.0', '0.059322033898305086', '', '', '', '', '', '', '', '']
  R82: ['', '3학년', '213.0', '90.0', '0.4225352112676056', '30.0', '0.14084507042253522', '24.0', '0.11267605633802819', '25.0', '0.11737089201877934', '23.0', '0.107981220657277', '21.0', '0.09859154929577464', '', '', '', '', '', '', '', '']
  R83: ['', '4학년 이상', '86.0', '32.0', '0.37209302325581395', '19.0', '0.22093023255813954', '15.0', '0.17441860465116277', '6.0', '0.06976744186046512', '12.0', '0.13953488372093023', '2.0', '0.023255813953488372', '', '', '', '', '', '', '', '']
  R84: ['전공', '인문사회계열', '144.0', '76.0', '0.5277777777777778', '17.0', '0.11805555555555555', '18.0', '0.125', '11.0', '0.0763888888888889', '17.0', '0.11805555555555555', '5.0', '0.034722222222222224', '', '', '', '', '', '', '', '']
  R85: ['', '자연과학계열', '239.0', '96.0', '0.401673640167364', '45.0', '0.18828451882845187', '22.0', '0.09205020920502091', '35.0', '0.14644351464435146', '13.0', '0.05439330543933055', '28.0', '0.11715481171548117', '', '', '', '', '', '', '', '']
  R86: ['', '공학계열', '286.0', '108.0', '0.3776223776223776', '55.0', '0.19230769230769235', '39.0', '0.13636363636363635', '33.0', '0.11538461538461538', '37.0', '0.12937062937062938', '14.0', '0.04895104895104895', '', '', '', '', '', '', '', '']
  R87: ['', '예체능계열', '30.0', '16.0', '0.5333333333333333', '6.0', '0.2', '2.0', '0.06666666666666667', '2.0', '0.06666666666666667', '4.0', '0.13333333333333333', '', '', '', '', '', '', '', '', '', '']
  R88: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R89: ['취업 준비 중 대학에서 제공 받았으면 하는 지원(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R90: ['', '', '구 분', '취업 준비 중 대학에서 제공 받았으면 하는 지원(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R91: ['', '', '', '채용공고 및 채용일정 정보', '', '기업별 연봉 및 복지 정보', '', '직무별 구체적인 업무 내용', '', '기업이 요구하는 자격요건 및 우대사항', '', '인턴십/현장실습 기회 정보', '', '합격자 스펙 및 면접 후기', '', '기타', '', '', '', '', '', '', '']
