원본,요약,요약 개조식,카테고리
"날씨에 대한, 또는 주차 및 ??? 자세한 안내가 필요.","- 날씨에 대한 자세한 안내가 필요.
- 주차 및 ???에 대한 자세한 안내가 필요.",- 날씨 및 주차 및 ???에 대한 자세한 안내가 필요.,주차안내
남녀노소 같이 즐길수 있는 즐길거리를 좀 만드셨으면 좋겠습니다.,- 남녀노소가 같이 즐길 수 있는 즐길거리를 만들어 주셨으면 좋겠습니다.,- 남녀노소가 같이 즐길거리를 만들어,폐공장가족행사
너무 좋았음,"요약:
- 너무 좋았음",- 좋았음,먹거리 체험
너무좋아요,- 너무좋아요,- 너무좋아요,행사불편
"노면이 좋지 않아 장애인 휠체어 불편함.
화장실은 만족.","요약:
- 노면이 좋지 않아 장애인 휠체어 불편함.
- 화장실은 만족.","- 노면이 좋지 않아 장애인 휠체어 불편함, 화장실은 만족.",폐공장가족행사
놀이 시설이 조금 더 있으면 좋겠다.,"요약:
- 놀이 시설이 조금 더 있으면 좋겠다.",- 놀이 시설이 더 있으면 좋겠다.,먹거리 체험
다른 폐공장을 적극적으로 활용,"요약:
- 다른 폐공장을 적극적으로 활용",- 다른 폐공장 활용,폐공장가족행사
다양한 참여 프로그램이 있으면 좋을거 같아요.,"요약:
- 다양한 참여 프로그램이 있으면 좋을거 같아요.",- 다양한 참여 프로그램 있으면 좋을거,다양한 체험부스
다양한 체험 거리가 있었으면 좋겠습니다.,- 다양한 체험 거리가 있었으면 좋겠습니다.,- 다양한 체험 거리가 있었으면.,다양한 체험부스
다양한 체험부스가 더 생겼으면 합니다. 어린아이들과 함께 할 수 있는…,"- 다양한 체험부스가 더 생겼으면 하며, 어린아이들과 함께 할 수 있는 부스를 원함.",- 다양한 체험부스 더 생겼으면 하며 어린아이들과 함께 할 수 있는 부스 원함,다양한 체험부스
다양한 체험부스가 많았음 좋겠습니다.,- 다양한 체험부스가 많았음 좋겠습니다.,- 다양한 체험부스 많았음,다양한 체험부스
다양한 프로그램 운행 했음,- 다양한 프로그램 운행 했음,- 프로그램 운행,다양한 체험부스
"다양한 프로그램이 부족하다.
식사, 여흥 등","- 다양한 프로그램이 부족하다.
- 식사, 여흥 등.","- 다양한 프로그램이 부족하다, 식사, 여흥 등.",다양한 체험부스
다양한체험이 있었으면 좋겠어요.,"요약:
- 다양한체험이 있었으면 좋겠어요.",- 다양한체험,먹거리 체험
다음엔 날씨가 더 좋기를 기원합니다.,- 다음엔 날씨가 더 좋기를 기원합니다.,- 다음엔 날씨가 더 좋기를.,행사불편
대기줄 너무 길음.,- 대기줄이 너무 길음.,- 대기줄 너무 길음.,폐공장가족행사
"드론 너무 좋은. 
그냥 행사 하지 말고 특별한 행사 원함. 질좋은 행사. 요즘 너무 시시한행사(예산낭비인듯) 많은. ","- 드론 너무 좋음.
- 그냥 하는 행사 말고 특별한, 질 좋은 행사 원함.
- 요즘 너무 시시한 행사(예산낭비인듯) 많음.","- 드론 너무 좋음, 그냥 하는 행사 말고 특별한 질 좋은 행사 원함, 요즘 시시한 행사(예산낭비인듯) 많음",행사불편
드론쇼&(추후)불꽃쇼 기대됩니다.,- 드론쇼&(추후)불꽃쇼 기대됩니다.,- 드론쇼&(추후)불꽃쇼,행사불편
땅바닥에 지푸라기(?) 같은거 많이 깔아주시면 좋겠네요.,- 땅바닥에 지푸라기(?) 같은 거 많이 깔아주시면 좋겠네요.,"요약 개조식:
- 지푸라기 많이 깔아주시면 좋겠네요.",폐공장가족행사
땅이 너무 축축하고 물렁해요 ㅠ,- 땅이 너무 축축하고 물렁해요.,- 땅이 축축하고 물렁해요.,행사불편
마실??만늘었으면 좋겠어,- 마실??만늘었으면 좋겠어,- 마실만늘었으면,행사불편
만족한다,- 만족한다,- 만족한다,행사불편
"먹거리 부스가 더 다양했으면 좋겠습니다.
레트로 게임 코너 같은 프로그램은 더 확충해도 좋을것 같습니다.
홍보를 더 과감하게 해도 좋겠습니다.
지역 대표 먹거리 선산곱창, 금오산 막걸리, 선산 주조 ???과의 연계 푸드코너를 마련해도 좋겠습니다.
방림 공장 내 빈부지를 최대한 더 활용해도 좋을것 같습니다.","요약:
- 먹거리 부스가 더 다양했으면 좋겠습니다.
- 레트로 게임 코너 같은 프로그램은 더 확충해도 좋을것 같습니다.
- 홍보를 더 과감하게 해도 좋겠습니다.
- 지역 대표 먹거리 선산곱창, 금오산 막걸리, 선산 주조 ???과의 연계 푸드코너를 마련해도 좋겠습니다.
- 방림 공장 내 빈부지를 최대한 더 활용해도 좋을것 같습니다.","- 먹거리 부스가 더 다양했으면 좋겠습니다, 레트로 게임 코너 같은 프로그램은 더 확충해도 좋을것 같습니다, 홍보를 더 과감하게 해도 좋겠습니다, 지역 대표 먹거리 선산곱창, 금오산 막걸리, 선산 주조 ???과의 연계 푸드코너를 마련해도 좋겠습니다, 방림 공장 내 빈부지를 최대한 더 활용해도 좋을것 같습니다",먹거리 체험
"먹거리 뿐만이 아닌 마실걸 팔았으면 좋겠으며,
좀 더 다양했으면 좋겠다.","- 먹거리뿐만 아니라 마실 것을 판매했으면 좋겠고, 품목이 좀 더 다양했으면 좋겠다.","- 마실 것을 판매했으면 좋겠고, 품목이 좀 더 다양했으면 좋겠다.",먹거리 체험
먹거리 종류가 많이 없어서 아쉽네요,- 먹거리 종류가 많이 없어 아쉽다,- 먹거리 종류 없어 아쉽다,폐공장가족행사
"먹거리, 쇼핑, 전시","- 먹거리
- 쇼핑
- 전시",- 먹거리 쇼핑 전시,먹거리 체험
"먹거리/볼거리/개선되어야함.
중간행사가 부족하다.","- 먹거리/볼거리 개선되어야함.
- 중간행사가 부족하다.","요약 개조식:
- 먹거리/볼거리 개선되어야함, 중간행사가 부족하다.",폐공장가족행사
"먹거리가 더 다양했으면 좋겠어요!
구미에서 이런 행사가 열려서 너무 좋아요.
더 잘 돼서 더 많은 가수를 부를 수 있었으면 좋겠습니다~","- 먹거리가 더 다양했으면 좋겠어요.
- 구미에서 이런 행사가 열려서 너무 좋아요.
- 더 잘 돼서 더 많은 가수를 부를 수 있었으면 좋겠습니다.","- 구미에서 이런 행사가 열려서 너무 좋아요, 먹거리가 더 다양했으면 좋겠어요, 더 잘 돼서 더 많은 가수를 부를 수 있었으면 좋겠습니다.",먹거리 체험
모름,"요약:
- 모름",- 모름,먹거리 체험
"물이 없다. (수도물)
커피가 없다. (6000원 비싸다)
먹거리가 약하다.
체험 예약제가 좋으나 너무 일찍 마감되어 불편하다.","요약:
- 물(수도물)이 없다.
- 커피가 없다.
- 커피가 6000원으로 비싸다.
- 먹거리가 약하다.
- 체험 예약제가 좋으나 너무 일찍 마감되어 불편하다.","- 물(수도물)이 없다, 커피가 없다·6000원으로 비싸다, 먹거리가 약하다, 체험 예약제가 좋으나 마감되어 불편하다",폐공장가족행사
"미디어아트 보강, 축제아이템 다양화","- 미디어아트 보강
- 축제아이템 다양화","- 미디어아트 보강, 축제아이템 다양화",먹거리 체험
"미디어아트의 다양화나 볼거리가 좀 더 늘었으면 좋겠고
가족들과 아이들이 함께 대기시간이 길지 않게
체험할 수 있는 체험부스가 늘어난다면 좀 더 즐길 수 있는 축제로 발전할 것입니다.","요약:
- 미디어아트의 다양화와 볼거리 확대를 원함.
- 가족들과 아이들이 대기시간이 길지 않게 함께 체험할 수 있는 체험부스가 늘어나길 원함.",- 미디어아트의 다양화와 볼거리 확대와 가족들과 아이들이 대기시간이 길지 않게 함께 체험할 수 있는 체험부스가 늘어나길 원함.,폐공장가족행사
바닥 좀 신경써주히소.,- 바닥 좀 신경 써 주세요.,- 바닥 신경 써 주세요.,폐공장가족행사
"바닥에 흙때문에 보행이 조금 불편했다.
매트를 많이 깔아주면 좋겠다.","- 바닥의 흙 때문에 보행이 조금 불편했다.
- 매트를 많이 깔아주면 좋겠다.","- 바닥의 흙 때문에 보행이 불편했다, 매트를 많이 깔아주면 좋겠다.",폐공장가족행사
번호표(대기표) 뽑는 시스템이 있으면 좋겠습니다. 대기줄 X,"요약:
- 번호표(대기표) 뽑는 시스템이 있으면 좋겠습니다. 대기줄 X",- 번호표(대기표) 뽑는 시스템,먹거리 체험
"볼거리, 먹을거리 다양화","- 볼거리, 먹을거리 다양화",- 볼거리 다양화,먹거리 체험
"볼거리가 너무없다.
준비가 잘 안 된듯 하다.
퀄리티 너무 떨어짐.","- 볼거리가 너무 없다.
- 준비가 잘 안 된 듯 하다.
- 퀄리티가 너무 떨어진다.","- 볼거리가 너무 없다, 준비가 잘 안 된 듯 하다, 퀄리티가 너무 떨어진다",폐공장가족행사
볼거리가 더 있으면 좋겠습니다.,"요약:
- 볼거리가 더 있으면 좋겠습니다.",- 볼거리가 더 있으면,먹거리 체험
비 때매 바닥이 질퍽한 점,- 비 때매 바닥이 질퍽한 점,- 비 때매 바닥이 질퍽한,폐공장가족행사
"비가 온 뒤라 땅이 축축했다.
이용이 불편함. (아이동반)","- 비가 온 뒤라 땅이 축축했다.
- 이용이 불편함. (아이동반)",- 비가 온 뒤라 땅이 축축했다. 이용이 불편함 (아이동반),폐공장가족행사
비가 와서 의자관람이 불편했지만 프로그램은 편했습니다,"요약:
- 비가 와서 의자관람이 불편했다
- 프로그램은 편했다","- 비가 와서 의자관람이 불편했다, 프로그램은 편했다",폐공장가족행사
"비가 와서 조금 아쉬웠습니다.
하지만 전반적으로 좋았습니다.","- 비가 와서 조금 아쉬웠습니다.
- 전반적으로 좋았습니다.","요약 개조식:
- 비가 와서 아쉬웠습니다, 전반적으로 좋았습니다.",행사불편
비가와서 실내가 많았으면..,"요약:
- 비가와서 실내가 많았으면..",- 실내가 많았으면,폐공장가족행사
"비가와서 힘들어요 ㅠ
비 피할 수 있는 천막이 필요해요 ㅠ","- 비가 와서 힘들어요.
- 비를 피할 수 있는 천막이 필요해요.","- 비가 와서 힘들어요, 천막이 필요해요.",행사불편
비예보가 있는데 관객들에게 줄 비옷하나 주지 않고 안전요원들이 인상을 너무 쓰고 있어 무서웠다.,"- 비예보가 있었는데 관객들에게 줄 비옷을 하나도 주지 않았다.
- 안전요원들이 인상을 너무 쓰고 있어 무서웠다.",- 비예보가 있었는데 관객들에게 줄 비옷을 하나도 주지 않았다 안전요원들이 인상을 너무 쓰고 있어 무서웠다,폐공장가족행사
비오는거 고려 부탁,- 비오는거 고려 부탁,- 비오는거 고려,행사불편
비온 뒤 바닥 불편,"요약:
- 비온 뒤 바닥이 불편했다.",- 바닥이 불편했다.,폐공장가족행사
비온 뒤 바닥 불편,- 비온 뒤 바닥이 불편하다,- 비온 뒤 바닥 불편하다,폐공장가족행사
비올수 있는 걸 대비해서 먹거리 테이블이 잘 정리되었으면 좋겠다,- 비올수 있는 걸 대비해서 먹거리 테이블이 잘 정리되었으면 좋겠다,- 비올수 있는 걸 대비해서 먹거리 테이블 정리되었으면 좋겠다,먹거리 체험
비와서ㅠㅠ 앉을곳 없음,"요약:
- 비와서
- 앉을 곳 없음","- 비와서, 앉을 곳 없음",폐공장가족행사
"사전 주차 시설 공지, 길거리 휴지통 설치","- 사전 주차 시설 공지
- 길거리 휴지통 설치",- 사전 주차 공지 · 길거리 휴지통 설치,주차안내
"셔틀버스 탑승위치?? 홍보 목록.
주차장 안내 목록","- 셔틀버스 탑승위치??
- 홍보 목록.
- 주차장 안내 목록",- 셔틀버스 탑승위치?? 홍보 목록. 주차장 안내 목록,주차안내
셔틀시간 많이 늘려주세요.,- 셔틀 시간을 많이 늘려 달라고 요청함.,- 셔틀 시간 늘려 달라고 요청함.,행사불편
"속빈강정.
자원봉사자 및 진행요원 행사 인지 부족.
게임기 개수 부족, 대기시간 너무 김.
물푼보관함 없음.
체험개수 부족.","요약:
- 속빈강정.
- 자원봉사자 및 진행요원 행사 인지 부족.
- 게임기 개수 부족, 대기시간 너무 김.
- 물푼보관함 없음.
- 체험개수 부족.","- 속빈강정, 자원봉사자 및 진행요원 행사 인지 부족, 게임기 개수 부족, 대기시간 너무 김, 물푼보관함 없음, 체험개수 부족.",폐공장가족행사
솜사탕 먹을 수 있는 부스가 있으면 좋겠어요 :),"요약:
- 솜사탕을 먹을 수 있는 부스가 있으면 좋겠어요.",- 솜사탕을 먹을 수 있는 부스,먹거리 체험
순서 기다리는 것에 대한 안내 필요,- 순서 기다리는 것에 대한 안내 필요,- 순서 안내 필요,행사불편
시설 인프라를 좀 더 편리하게 하셔야겠습니다.,"요약:
- 시설 인프라를 좀 더 편리하게 하셔야겠습니다.",- 시설 인프라를 더 편리하게.,폐공장가족행사
실내 프로그램 개설 증진 부탁드립니다.,"요약:
- 실내 프로그램 개설 증진 요청",- 실내 프로그램 요청,다양한 체험부스
"아기들 있는데 드론 축제 때 담배 피우는 사람 있었음.
체험할 곳 더 많았으면 합니다.
VR체험 한 대 더 있었으면.","- 드론 축제 때 아기들 있는데 담배 피우는 사람 있었음.
- 체험할 곳 더 많았으면 합니다.
- VR체험 한 대 더 있었으면.","- 드론 축제 때 아기들 있는데 담배 피우는 사람 있었음, 체험할 곳 더 많았으면, VR체험 한 대 더 있었으면",다양한 체험부스
아이돌 초대가수 초청해주세요,- 아이돌 초대가수 초청해주세요,- 아이돌 초청해주세요,행사불편
아이들 놀거리 없음,- 아이들 놀거리 없음,- 놀거리 없음,폐공장가족행사
"아이들 참여 놀이가 더 많았으면 좋겠어요.
앉아서 쉴 곳도 더 있으면 좋겠어요.","요약:
- 아이들 참여 놀이가 더 많았으면 좋겠어요.
- 앉아서 쉴 곳도 더 있으면 좋겠어요.","- 아이들 참여 놀이 많았으면, 앉아서 쉴 곳 있으면 좋겠어요.",먹거리 체험
아이들 체험이 더 다양했으면,"요약:
- 아이들 체험이 더 다양했으면",- 아이들 체험이 다양했으면,먹거리 체험
"아이들과 체험 행사가 많이 있음 좋겠다.
먹거리가 저렴하면 더 좋을거 같다.
기념품 증정이 있음 좋겠다.","요약:
- 아이들과 체험 행사가 많이 있음 좋겠다.
- 먹거리가 저렴하면 더 좋을거 같다.
- 기념품 증정이 있음 좋겠다.","- 아이들과 체험 행사가 많이 있음 좋겠다, 먹거리가 저렴하면 더 좋을거 같다, 기념품 증정 있음 좋겠다",먹거리 체험
아이들의 무료 체험이 다양했으면 합니다.,"요약:
- 아이들의 무료 체험이 다양했으면 합니다.",- 아이들의 무료 체험이 다양했으면,먹거리 체험
아이들이 참여할 수 있는 부스체험이 많았으면 좋겠습니다.,"요약:
- 아이들이 참여할 수 있는 부스체험이 많았으면 좋겠습니다.",- 아이들이 참여할 부스체험 많았으면 좋겠습니다.,먹거리 체험
아이들이(미취학) 참여할 수 있는 프로그램이 많았으면 좋겠어요.,- 미취학 아이들이 참여할 수 있는 프로그램이 많았으면 좋겠어요.,- 미취학 아이들이 참여할 수 있는 프로그램이 많았으면,다양한 체험부스
아직 뭔가 부조화 된 느낌입니다.,- 아직 뭔가 부조화 된 느낌입니다.,- 아직 부조화 된 느낌입니다.,행사불편
안내표(?)가 너무 복잡해서 한눈에 안들어옴,- 안내표가 너무 복잡해서 한눈에 안들어옴,- 안내표가 복잡해서 한눈에 안들어옴,행사불편
애들을 위한 공간이 더 마련되길 바래요,"요약:
- 애들을 위한 공간이 더 마련되길 바래요",- 애들을 위한 공간이 더 마련되길,폐공장가족행사
예약제가 아닌 선착순 참여로 진행되었으면함. 아이들이 즐길거리가 부족함,"- 예약제가 아닌 선착순 참여로 진행되었으면 함.
- 아이들이 즐길 거리가 부족함.","- 예약제 아닌 선착순 참여로 진행되었으면 함, 아이들이 즐길 거리가 부족함",폐공장가족행사
"예약제인 경우 전달이 되지 않아 줄을 서서 긴 시간 기다렸으나, 예약하지 않아 이용이 불가능하였다. 
안내가 필요하다.","- 예약제인 사실이 전달되지 않아 줄을 서서 긴 시간 기다렸음
- 예약하지 않아 이용이 불가능했음
- 안내가 필요함",- 예약제인 사실이 전달되지 않아 이용이 불가능했음,폐공장가족행사
우천 시 피할 곳이 부족,"요약:
- 우천 시 피할 곳이 부족",- 우천 시 곳이 부족,폐공장가족행사
"우천대비 우비제공,
휴식공간 추가필요","- 우천대비 우비제공
- 휴식공간 추가필요","- 우천대비 우비제공, 휴식공간 추가필요",폐공장가족행사
"우천시 관람객 안내 혹은 우비 나눔, 우산대여","- 우천시 관람객 안내
- 우비 나눔
- 우산대여","- 우천시 관람객 안내, 우비 나눔, 우산대여",폐공장가족행사
우천시 대비가 좀 더 되었으면 좋겠음. ,- 우천시 대비가 좀 더 되었으면 좋겠음.,- 우천시 대비 좀 더,폐공장가족행사
우천시 바닥 물기 없도록 시설 추가 요망,"요약:
- 우천 시 바닥에 물기 없도록 시설 추가를 요망함",- 우천 시 바닥 물기 없도록 시설 추가를 요망함,폐공장가족행사
"우천시 비올때를 대비해 프로그램 개설과 
예약프로그램이 없어지면 좋겠다.","- 우천시 비올때를 대비해 프로그램 개설
- 예약프로그램이 없어지면 좋겠다","- 우천시 비올때를 대비해 프로그램 개설, 예약프로그램이 없어지면 좋겠다",다양한 체험부스
"우천시에 대응이 조금 더 원활했으면 좋았을 것 같다.
시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다.","- 우천시에 대응이 조금 더 원활했으면 좋겠다고 느꼈다.
- 시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다고 말했다.",- 시민들은 우천시에 진행요원들이 조금 더 원활하게 대응했으면 좋겠다고 느꼈다.,다양한 체험부스
위치 주차시설,"- 위치
- 주차시설",- 위치 · 주차시설,주차안내
음료푸드트럭도 같이 있었으면 좋겠다. 체험 및 기타 즐길거리가 더 다양했으면 좋겠다,"- 음료푸드트럭도 같이 있었으면 좋겠다.
- 체험 및 기타 즐길거리가 더 다양했으면 좋겠다.","- 음료푸드트럭도 같이 있었으면 좋겠다, 체험 및 기타 즐길거리가 더 다양했으면 좋겠다.",먹거리 체험
음식이 더 많으면 좋겠다,- 음식이 더 많으면 좋겠다,- 음식이 더 많으면,먹거리 체험
"의무실, 수유실 필요합니다.","요약:
- 의무실과 수유실이 필요합니다.",- 의무실과 수유실 필요합니다.,폐공장가족행사
"이번에는 추석연휴에 행사를 했는데, 토요일, 일요일 해도 좋을듯하다.
체험하는데 오랜시간을 기다려야 했다.
제6링고??의 한자 과학 체험이 제일 좋았다.
자기가 득점한 점수도 볼 수 있고 간만에 도파민이 셈 솟았다.","- 행사를 추석연휴에 했으며 토요일·일요일에도 하면 좋겠다고 함.
- 체험을 위해 오랜 시간 기다려야 했다고 함.
- 제6링고??의 한자 과학 체험이 제일 좋았다고 함.
- 자기가 득점한 점수도 볼 수 있었고 간만에 도파민이 솟았다고 함.","- 행사를 추석연휴에 했으며 토요일·일요일에도 하면 좋겠다고 함, 체험을 위해 오랜 시간 기다려야 했다고 함, 제6링고??의 한자 과학 체험이 제일 좋았다고 함, 자기가 득점한 점수도 볼 수 있었고 간만에 도파민이 솟았다고 함",행사불편
자리가 더 많음 좋겠습니다,- 자리가 더 많았으면 좋겠습니다.,- 자리가 많았으면,먹거리 체험
"자세한 안내문 필요.
다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.","- 자세한 안내문 필요.
- 다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.","- 자세한 안내문 필요, 가수 초청보다 예술공연 많이 하면 좋겠다.",다양한 체험부스
작년 대비 좋아졌어요.,- 작년 대비 좋아졌어요.,- 좋아졌어요.,행사불편
장소가 좀 더 넓고 교통편이 편한곳이면 좋겠어요.,- 장소가 좀 더 넓고 교통편이 편한 곳을 원함.,- 장소 넓고 교통편 편한 곳 원함.,폐공장가족행사
"장소를 더 잘 꾸며주세요.
먹거리 부문이 좀 아쉬워요.","요약:
- 장소를 더 잘 꾸며주세요.
- 먹거리 부문이 좀 아쉬워요.","요약 개조식:
- 장소를 더 잘 꾸며주세요, 먹거리 부문이 좀 아쉬워요.",폐공장가족행사
"장소협소하고
프로그램 예약이 시간이 짧아요 (너무 어렵다)","요약:
- 장소가 협소함
- 프로그램 예약 시간이 짧아서 너무 어렵다","- 장소가 협소함, 예약 시간이 짧아서 어렵다",폐공장가족행사
접근성 및 장애인 활동 어려움,- 접근성 및 장애인 활동 어려움,- 접근성 장애인 활동 어려움,폐공장가족행사
조금 더 다양하고 저렴한 푸드,- 조금 더 다양하고 저렴한 푸드,- 다양하고 저렴한 푸드,먹거리 체험
"조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.
파이팅!",- 조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.,- 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.,먹거리 체험
조금 더 다양했으면,"요약:
- 조금 더 다양했으면",- 더 다양했으면,먹거리 체험
조금만 더 다양해지면 좋을 것 같습니다,"요약:
- 조금만 더 다양해지면 좋겠다고 응답","요약 개조식:
- 조금만 더 다양해지면 좋겠다고",먹거리 체험
좀 더 넓은 장소에서 했으면 함.,"요약:
- 좀 더 넓은 장소에서 했으면 함.",- 더 넓은 장소에서 했으면 함.,먹거리 체험
좀 더 아이들이 참여할 수 있는 행사 요청,- 좀 더 아이들이 참여할 수 있는 행사 요청,- 아이들 참여할 행사 요청,다양한 체험부스
좀 더 적극적인 홍보가 필요합니다.,- 좀 더 적극적인 홍보가 필요합니다.,- 적극적인 홍보가 필요합니다.,먹거리 체험
좀 더 체험이 다양하면 좋겠습니다,"요약:
- 체험이 더 다양했으면 좋겠습니다",- 체험 더 다양했으면,먹거리 체험
좋았어요♥,- 좋았어요♥,- 좋았어요♥,행사불편
좋은 축제 감사합니다.,- 좋은 축제 감사합니다.,- 감사합니다.,행사불편
"주차 문제, 쉴 공간","- 주차 문제
- 쉴 공간","- 주차 문제, 쉴 공간",주차안내
주차(임산부라 멀리 주차해서 힘들었음),- 임산부라 멀리 주차해야 해서 힘들었음,- 임산부라 멀리 주차해야 힘들었음,주차안내
"주차, 주차안내요원","- 주차, 주차안내요원",- 주차,주차안내
주차공간,- 주차공간,- 주차공간,주차안내
주차공간,- 주차공간,- 주차공간,주차안내
주차공간 미흡,- 주차공간 미흡,- 주차공간 미흡,주차안내
주차공간 확보,- 주차공간 확보,- 확보,주차안내
주차공간마련,- 주차공간마련,- 주차공간,주차안내
주차불편,"요약:
- 주차불편",- 주차불편,주차안내
주차시설,- 주차시설,- 주차시설,주차안내
주차시설 부족,- 주차시설 부족,- 주차시설 부족,주차안내
주차시설 확보,- 주차시설 확보,- 확보,주차안내
주차안내 및 주변 공장과의 협의,- 주차 안내 및 주변 공장과의 협의,- 주차 안내,주차안내
주차자리부족,"요약:
- 주차자리부족",- 주차자리부족,주차안내
주차장,"요약:
- 주차장",- 주차장,주차안내
주차장,- 주차장,- 주차장,주차안내
주차장 안내 미흡,- 주차장 안내 미흡,- 안내 미흡,주차안내
주차장 안내 미흡,"요약:
- 주차장 안내 미흡",- 안내 미흡,주차안내
"주차장 안내가 부족했음.
없으면 안내라도 미리 고지했으면 좋겠음.","- 주차장 안내가 부족했고, 주차장이 없으면 사전에 안내해 주었으면 좋겠음.","- 주차장 안내가 부족했고, 없으면 사전에 안내해 주었으면 좋겠음",주차안내
주차장 확보,"요약:
- 주차장 확보",- 확보,주차안내
주차장 확보 했으면 합니다.,- 주차장 확보를 원함,- 주차장 확보,주차안내
주차장을 더 많이 해주셨음 좋겠습니다.,- 주차장을 더 많이 해주셨음 좋겠습니다.,- 주차장을 더 많이 해주셨음.,주차안내
주차장을 많이 넓혀주셨음 좋겠어요,- 주차장을 많이 넓혀주셨으면 좋겠어요,- 주차장을 많이 넓혀주셨으면,주차안내
주차장이 불편해요.,"요약:
- 주차장이 불편함.",- 주차장이 불편함.,주차안내
