원본,요약,카테고리,요약 재분류
"노면이 좋지 않아 장애인 휠체어 불편함.
화장실은 만족.","- 노면 불량, 휠체어 불편
- 화장실 만족",행사시설환경,20
놀이 시설이 조금 더 있으면 좋겠다.,- 다른 폐공장 적극 활용,프로그램·먹거리,21
다른 폐공장을 적극적으로 활용,- 다양한 참여 프로그램,프로그램·먹거리,22
다양한 참여 프로그램이 있으면 좋을거 같아요.,- 좋음,행사평가,18
다양한 체험 거리가 있었으면 좋겠습니다.,- 다양한 체험거리,프로그램·먹거리,23
다양한 체험부스가 더 생겼으면 합니다. 어린아이들과 함께 할 수 있는…,"- 프로그램 다양성 부족
- 식사 프로그램 부족
- 여흥 프로그램 부족",프로그램·먹거리,24
다양한 체험부스가 많았음 좋겠습니다.,- 다양한 프로그램 운행,프로그램·먹거리,25
다양한 프로그램 운행 했음,- 다양한 체험 희망,프로그램·먹거리,26
"다양한 프로그램이 부족하다.
식사, 여흥 등",- 어린이 동반 체험부스 확대,가족체험공간,27
다양한체험이 있었으면 좋겠어요.,- 다음 날씨 더 좋음 기원,행사평가,28
다음엔 날씨가 더 좋기를 기원합니다.,"- 다양한 체험부스
- 체험부스 확대
- 체험콘텐츠 다양화",가족체험공간,29
대기줄 너무 길음.,- 대기줄 길음,행사시설환경,30
"드론 너무 좋은. 
그냥 행사 하지 말고 특별한 행사 원함. 질좋은 행사. 요즘 너무 시시한행사(예산낭비인듯) 많은. ",- 만족,행사평가,31
드론쇼&(추후)불꽃쇼 기대됩니다.,"- 땅 축축
- 땅 물렁함",행사시설환경,32
땅바닥에 지푸라기(?) 같은거 많이 깔아주시면 좋겠네요.,"- 드론 선호
- 특별·질높은 행사 원함
- 시시한 행사 증가
- 예산낭비 우려",행사평가,33
땅이 너무 축축하고 물렁해요 ㅠ,"- 땅바닥
- 지푸라기류
- 대량 깔기",행사시설환경,34
마실??만늘었으면 좋겠어,"- 음료 판매
- 품목 다양화",프로그램·먹거리,35
만족한다,- 먹거리 종류 부족,행사평가,36
"먹거리 부스가 더 다양했으면 좋겠습니다.
레트로 게임 코너 같은 프로그램은 더 확충해도 좋을것 같습니다.
홍보를 더 과감하게 해도 좋겠습니다.
지역 대표 먹거리 선산곱창, 금오산 막걸리, 선산 주조 ???과의 연계 푸드코너를 마련해도 좋겠습니다.
방림 공장 내 빈부지를 최대한 더 활용해도 좋을것 같습니다.","- 드론쇼 기대
- 추후 불꽃쇼 기대",행사평가,37
"먹거리 뿐만이 아닌 마실걸 팔았으면 좋겠으며,
좀 더 다양했으면 좋겠다.","- 먹거리
- 쇼핑
- 전시",행사평가,38
먹거리 종류가 많이 없어서 아쉽네요,"확인할게요 — 여기서 ""마실??""은 어떤 의미인가요?
- 외출/이웃 방문(마실 나감)인지
- 음료/술(마실 것)인지

어떤 의미인지 알려주시면 조건에 맞춰 개조식으로 요약해 드릴게요.",행사평가,39
"먹거리, 쇼핑, 전시","- 먹거리 개선
- 볼거리 개선
- 중간행사 부족",행사시설환경,40
"먹거리/볼거리/개선되어야함.
중간행사가 부족하다.",- 모름,행사평가,41
"먹거리가 더 다양했으면 좋겠어요!
구미에서 이런 행사가 열려서 너무 좋아요.
더 잘 돼서 더 많은 가수를 부를 수 있었으면 좋겠습니다~","- 먹거리 다양화
- 레트로게임 확충
- 홍보 과감화
- 지역먹거리 연계
- 빈부지 활용",행사평가,42
모름,"- 미디어아트 보강
- 축제아이템 다양화",행사평가,43
"물이 없다. (수도물)
커피가 없다. (6000원 비싸다)
먹거리가 약하다.
체험 예약제가 좋으나 너무 일찍 마감되어 불편하다.","- 먹거리 다양화
- 구미 행사 개최
- 가수 초청 확대",행사평가,44
"미디어아트 보강, 축제아이템 다양화","- 수도물 없음
- 커피 없음, 가격 6,000원(비쌈)
- 먹거리 부족
- 체험 예약제, 조기 마감 불편",행사시설환경,45
"미디어아트의 다양화나 볼거리가 좀 더 늘었으면 좋겠고
가족들과 아이들이 함께 대기시간이 길지 않게
체험할 수 있는 체험부스가 늘어난다면 좀 더 즐길 수 있는 축제로 발전할 것입니다.","- 볼거리 다양화
- 먹거리 다양화",프로그램·먹거리,46
바닥 좀 신경써주히소.,"- 바닥 흙, 보행 불편
- 매트 추가 설치 요청",행사시설환경,47
"바닥에 흙때문에 보행이 조금 불편했다.
매트를 많이 깔아주면 좋겠다.","- 번호표 발급 시스템
- 대기줄 없음",행사시설환경,48
번호표(대기표) 뽑는 시스템이 있으면 좋겠습니다. 대기줄 X,"- 볼거리 부족
- 준비 미흡
- 퀄리티 저하",행사시설환경,49
"볼거리, 먹을거리 다양화",- 볼거리 추가 희망,행사시설환경,50
"볼거리가 너무없다.
준비가 잘 안 된듯 하다.
퀄리티 너무 떨어짐.","- 미디어아트 다양화·볼거리 증가
- 가족·아동 대기짧은 체험부스 확대",가족체험공간,51
볼거리가 더 있으면 좋겠습니다.,- 바닥 관리,행사시설환경,52
비 때매 바닥이 질퍽한 점,"- 땅 축축
- 이용 불편, 아이동반",행사시설환경,53
"비가 온 뒤라 땅이 축축했다.
이용이 불편함. (아이동반)","- 비로 의자관람 불편
- 프로그램 편함",행사시설환경,54
비가 와서 의자관람이 불편했지만 프로그램은 편했습니다,"- 비, 바닥, 질퍽",행사시설환경,55
"비가 와서 조금 아쉬웠습니다.
하지만 전반적으로 좋았습니다.","- 비 아쉬움
- 전반적 만족",행사평가,56
비가와서 실내가 많았으면..,"- 비
- 실내
- 많음
- 희망",행사평가,57
"비가와서 힘들어요 ㅠ
비 피할 수 있는 천막이 필요해요 ㅠ",- 우천 고려,행사시설환경,58
비예보가 있는데 관객들에게 줄 비옷하나 주지 않고 안전요원들이 인상을 너무 쓰고 있어 무서웠다.,"- 비로 어려움
- 비 피할 천막 필요",행사시설환경,59
비오는거 고려 부탁,"- 비예보
- 비옷 미지급
- 안전요원 위협적",행사시설환경,60
비온 뒤 바닥 불편,- 우천 후 바닥 미끄러움,행사시설환경,61
비온 뒤 바닥 불편,- 비온 뒤 바닥 불편,행사시설환경,62
비올수 있는 걸 대비해서 먹거리 테이블이 잘 정리되었으면 좋겠다,"- 비
- 자리 없음",행사시설환경,63
비와서ㅠㅠ 앉을곳 없음,"- 비 대비
- 먹거리 테이블 정리",행사시설환경,64
"사전 주차 시설 공지, 길거리 휴지통 설치","- 사전 주차시설 공지
- 길거리 휴지통 설치",교통주차안내,65
"셔틀버스 탑승위치?? 홍보 목록.
주차장 안내 목록",- 셔틀 운행시간 대폭 연장,행사시설환경,66
셔틀시간 많이 늘려주세요.,- 대기 순서 안내 필요,행사시설환경,67
"속빈강정.
자원봉사자 및 진행요원 행사 인지 부족.
게임기 개수 부족, 대기시간 너무 김.
물푼보관함 없음.
체험개수 부족.",- 시설 인프라 편의성 향상 필요,행사시설환경,68
솜사탕 먹을 수 있는 부스가 있으면 좋겠어요 :),"- 셔틀버스 탑승 위치 홍보
- 주차장 안내",교통주차안내,69
순서 기다리는 것에 대한 안내 필요,- 실내 프로그램 개설 확대,프로그램·먹거리,70
시설 인프라를 좀 더 편리하게 하셔야겠습니다.,- 솜사탕 부스 설치 희망,행사시설환경,71
실내 프로그램 개설 증진 부탁드립니다.,"- 속빈강정
- 자원봉사자·진행요원 행사인지 부족
- 게임기 수 부족
- 대기시간 길음
- 물품보관함 없음
- 체험수 부족",행사시설환경,72
"아기들 있는데 드론 축제 때 담배 피우는 사람 있었음.
체험할 곳 더 많았으면 합니다.
VR체험 한 대 더 있었으면.","- 드론 축제장 흡연(아기 근처)
- 체험 부스 부족
- VR 체험 기기 추가 필요",가족체험공간,73
아이돌 초대가수 초청해주세요,- 아이들 체험 다양화,프로그램·먹거리,74
아이들 놀거리 없음,"- 놀이 참여 확대
- 휴식 좌석 확대",가족체험공간,75
"아이들 참여 놀이가 더 많았으면 좋겠어요.
앉아서 쉴 곳도 더 있으면 좋겠어요.",- 아이들 놀거리 부족,행사평가,76
아이들 체험이 더 다양했으면,- 어린이 무료 체험 다양화,가족체험공간,77
"아이들과 체험 행사가 많이 있음 좋겠다.
먹거리가 저렴하면 더 좋을거 같다.
기념품 증정이 있음 좋겠다.",- 아이돌 초청,행사평가,78
아이들의 무료 체험이 다양했으면 합니다.,- 미취학 아동 참여 프로그램 확대,가족체험공간,79
아이들이 참여할 수 있는 부스체험이 많았으면 좋겠습니다.,"- 어린이 체험행사 확대
- 먹거리 저렴
- 기념품 증정",가족체험공간,80
아이들이(미취학) 참여할 수 있는 프로그램이 많았으면 좋겠어요.,- 어린이 참여형 부스체험 다수,가족체험공간,81
아직 뭔가 부조화 된 느낌입니다.,"- 안내표 복잡
- 한눈에 파악 불가",행사시설환경,82
안내표(?)가 너무 복잡해서 한눈에 안들어옴,- 부조화 느낌,행사평가,83
애들을 위한 공간이 더 마련되길 바래요,- 어린이 공간 확대,가족체험공간,84
예약제가 아닌 선착순 참여로 진행되었으면함. 아이들이 즐길거리가 부족함,"- 예약제 정보 미전달
- 긴 줄 대기
- 예약 없으면 이용불가
- 안내 필요",행사시설환경,85
"예약제인 경우 전달이 되지 않아 줄을 서서 긴 시간 기다렸으나, 예약하지 않아 이용이 불가능하였다. 
안내가 필요하다.","- 선착순 참여 선호
- 아이들 즐길거리 부족",행사평가,86
우천 시 피할 곳이 부족,- 우천 대피처 부족,행사시설환경,87
"우천대비 우비제공,
휴식공간 추가필요",- 우천 대비 강화,행사시설환경,88
"우천시 관람객 안내 혹은 우비 나눔, 우산대여","- 우비 제공
- 휴식공간 추가",행사시설환경,89
우천시 대비가 좀 더 되었으면 좋겠음. ,- 우천시 바닥 건조 시설 추가,행사시설환경,90
우천시 바닥 물기 없도록 시설 추가 요망,"- 위치
- 주차시설",교통주차안내,91
"우천시 비올때를 대비해 프로그램 개설과 
예약프로그램이 없어지면 좋겠다.","- 우천 대비 프로그램 개설
- 예약 프로그램 폐지",프로그램·먹거리,92
"우천시에 대응이 조금 더 원활했으면 좋았을 것 같다.
시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다.","- 우천시 대응 미흡
- 진행요원 대응 개선 필요",행사시설환경,93
위치 주차시설,"- 의무실
- 수유실",행사시설환경,94
음료푸드트럭도 같이 있었으면 좋겠다. 체험 및 기타 즐길거리가 더 다양했으면 좋겠다,"- 우천 관람객 안내
- 우비 나눔
- 우산 대여",행사시설환경,95
음식이 더 많으면 좋겠다,- 음식 더 원함,행사평가,96
"의무실, 수유실 필요합니다.","- 음료 푸드트럭
- 체험 다양화
- 기타 즐길거리 확대",가족체험공간,97
"이번에는 추석연휴에 행사를 했는데, 토요일, 일요일 해도 좋을듯하다.
체험하는데 오랜시간을 기다려야 했다.
제6링고??의 한자 과학 체험이 제일 좋았다.
자기가 득점한 점수도 볼 수 있고 간만에 도파민이 셈 솟았다.",- 좌석 수 확대 요청,행사시설환경,98
자리가 더 많음 좋겠습니다,- 작년 대비 개선,프로그램·먹거리,99
"자세한 안내문 필요.
다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.","- 접근성 문제
- 장애인 활동 제한",행사시설환경,100
작년 대비 좋아졌어요.,"- 장소 협소
- 프로그램 예약 시간 짧음
- 진행 어려움",행사시설환경,101
장소가 좀 더 넓고 교통편이 편한곳이면 좋겠어요.,"- 넓은 장소
- 교통편 편리",교통주차안내,102
"장소를 더 잘 꾸며주세요.
먹거리 부문이 좀 아쉬워요.","- 자세한 안내문
- 예술공연 확대
- 체험·가수 초청 축소",가족체험공간,103
"장소협소하고
프로그램 예약이 시간이 짧아요 (너무 어렵다)","- 장소 꾸밈 개선
- 먹거리 품질·다양성 개선",행사평가,104
접근성 및 장애인 활동 어려움,"- 추석연휴 행사, 주말(토·일)도 적합  
- 체험 대기시간 길음  
- 제6링고 한자·과학 체험 우수  
- 득점 확인 가능  
- 도파민 상승(즐거움)",행사평가,105
조금 더 다양하고 저렴한 푸드,- 다양성 확대,프로그램·먹거리,106
"조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.
파이팅!",- 주제·즐길거리 다양한 전시 확대,프로그램·먹거리,107
조금 더 다양했으면,- 다양성 확대 필요,프로그램·먹거리,106
조금만 더 다양해지면 좋을 것 같습니다,"- 다양성
- 저렴함
- 푸드",프로그램·먹거리,108
좀 더 넓은 장소에서 했으면 함.,- 홍보 적극화,행사평가,109
좀 더 아이들이 참여할 수 있는 행사 요청,- 더 넓은 장소 요청,행사시설환경,110
좀 더 적극적인 홍보가 필요합니다.,- 아이 참여 행사 확대 요청,가족체험공간,111
좀 더 체험이 다양하면 좋겠습니다,- 체험 다양화,프로그램·먹거리,112
좋았어요♥,- 좋았음,행사평가,113
좋은 축제 감사합니다.,"- 축제
- 감사",행사평가,114
"주차 문제, 쉴 공간","- 주차 문제
- 휴식 공간",교통주차안내,115
주차(임산부라 멀리 주차해서 힘들었음),- 주차공간,교통주차안내,116
"주차, 주차안내요원","- 주차
- 주차안내요원",교통주차안내,117
주차공간,- 주차공간 부족,교통주차안내,116
주차공간,"- 주차공간
- 주차면
- 주차구역
- 주차장",교통주차안내,118
주차공간 미흡,- 주차공간 확보,교통주차안내,116
주차공간 확보,- 주차 불편,교통주차안내,119
주차공간마련,- 주차시설 부족,교통주차안내,120
주차불편,- 주차 공간 마련,교통주차안내,116
주차시설,"- 주차
- 임산부
- 주차거리 멀음
- 이동 힘듦",교통주차안내,121
주차시설 부족,"- 주차장
- 지하주차장
- 기계식주차
- 주차면
- 주차요금
- 주차관리",교통주차안내,122
주차시설 확보,"- 주차 안내
- 주변 공장 협의",교통주차안내,123
주차안내 및 주변 공장과의 협의,- 주차장,교통주차안내,124
주차자리부족,- 주차공간 부족,교통주차안내,120
주차장,- 주차장 안내 미흡,교통주차안내,125
주차장,- 주차장,교통주차안내,124
주차장 안내 미흡,- 주차시설 확보,교통주차안내,126
주차장 안내 미흡,- 주차장 확보,교통주차안내,126
"주차장 안내가 부족했음.
없으면 안내라도 미리 고지했으면 좋겠음.",- 주차장 안내 미흡,교통주차안내,125
주차장 확보,- 주차장 불편,교통주차안내,119
주차장 확보 했으면 합니다.,- 주차장 확보 요청,교통주차안내,127
주차장을 더 많이 해주셨음 좋겠습니다.,- 주차장 확충 요청,교통주차안내,127
주차장을 많이 넓혀주셨음 좋겠어요,"- 주차장 안내 부족
- 주차장 미비 시 사전 고지 요청",교통주차안내,128
주차장이 불편해요.,"- 주차장 없음
- 주차 불편",교통주차안내,119
주차장이 없어서 주차하는데 불편함을 겪었다.,- 주차장 대폭 확장 요청,교통주차안내,129
줄서기 시간이 다소 김,- 차량 이동 주차장 추가,교통주차안내,130
줄서는 대기시간이 오래걸림. 주차장 확보 시급.,"- 긴 대기시간
- 주차장 확보 필요",교통주차안내,131
지속적으로,- 줄서기 시간 길다,행사시설환경,132
"진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)","- 체험 행사 증가
- 먹거리 확대",가족체험공간,133
차량 이동 관련 주차장을 더 만들어 주세요.,- 체험놀이 보충,가족체험공간,134
체험 놀이를 더 보충해주세요.,"- 체험부스 다양화
- 눈으로 응원",가족체험공간,135
체험 부스 다양화. 눈으로도 응원합니다 ^^,- 체험부스 확대 희망,가족체험공간,136
체험 행사 및 먹거리가 좀 더 늘었으면 좋겠어요,- 체험부스 추가,가족체험공간,137
체험부스가 더 많았으면 좋겠음.,"- 지속
- 계속
- 연속
- 끊임없음
- 장기",프로그램·먹거리,138
체험부스가 더 있었으면 좋겠다.,- 체험부스 확대 요청,가족체험공간,139
"체험부스당 인원수가 매우 부족하다 느낌.
13시 30분에 왔는데도 2부(17:00) 이후부터 예약이 가능하다 하여 체험할 수 없어 아쉬웠음.",- 체험프로그램 다양성,프로그램·먹거리,140
체험부스를 더 크게 만들어 줬으면 합니다.,- 체험프로그램 추가 희망,가족체험공간,141
체험프로그램의 다양성,"- 진흙, 이동 불편
- 신발·옷 훼손",행사시설환경,142
체험프로그램이 더 생겼으면 좋겠음,- 체험프로그램 다양화,프로그램·먹거리,140
체험프로그램이 조금 더 다양하게 많았으면 좋겠어요,"- 취지 긍정
- 추가 발전 필요",행사시설환경,143
축제 홍보가 더 필요할 것 같다,- 축제 홍보 강화,행사평가,144
"축제는 아이들이 즐길거리가 많아야 흥합니다.
컨셉이 애매해요. 응원함.
큰 투자는 많아보이는데 컨텐츠가 적어요.",- 푸드코너 다양화·확대,프로그램·먹거리,145
"취지는 좋으나, 조금 더 발전이 필요해보임.","- 체험부스 인원수 부족
- 13:30 도착했으나 예약 17:00 이후만, 참여 불가",가족체험공간,146
커피 한 잔이 6000원 물가비교 테이크아웃금액이 비싸고 부스참여는 할 수 있는게 없이 예약이 끝났는데 고지도 안 되어있어 사람들이 서서 20명정도 계속 하는건가 물어보고 있어요,- 편안한 실내 커피숍,행사평가,147
편안한 실내커피숍 필요,"- 축제 흥행: 어린이 즐길거리 필요  
- 컨셉 애매함, 응원  
- 투자 큼, 콘텐츠 부족",행사평가,148
푸드 코너가 더 많았으면 좋겠음. 아주 다양하게,"- 푸드코트 다양성·질 개선
- 참여 부스 확대",프로그램·먹거리,149
"푸드코트의 다양성 및 질 개선, 참여 부스 확대","- 푸드트럭·음료 다양화
- 간이화장실 물부족
- 전반적 행사 훌륭",행사평가,150
"푸드트럭, 음료 등 다양했으면 더 좋을 것 같고
간이화장실이 물부족이라서 아쉬웠지만 이정도면 전반적으로 훌륭한 행사여서 잘 즐기다 갑니다 ♥ 감사합니다!","- 프로그램 다양화·활성화
- 시간대별 운영
- 사전예약·홍보",프로그램·먹거리,151
"프로그램 다양성 추진! -> 사전예약 마감으로 인한 참여 불가…
주차 힘듬!","- 프로그램 다양성
- 사전예약 마감, 참여 불가
- 주차 불편",프로그램·먹거리,152
"프로그램 다양화 및 활성화, 시간대별 프로그램 진행, 사전예약홍보",- 프로그램 다양성 확대,프로그램·먹거리,153
프로그램 이용시 1~2시간 뒤 오라고 해서 이용 잘못했어요.,- 홍보 필요,행사평가,154
프로그램 자체는 많지만 많은 인원을 수용하지 못해서 이미 예약 마감 등 마감된 것들이 많아서 아쉬웠다.,"- 프로그램 다양성
- 개발",프로그램·먹거리,155
프로그램의 다양성. 개발???,"- 커피6000원
- 테이크아웃 비쌈
- 부스참여 불가
- 예약종료 안내없음
- 대기 약20명",가족체험공간,156
프로그램이 더 다양했으면 좋겠다.,"- 광고
- PR
- 마케팅
- 브랜드인지도
- 캠페인
- 소셜미디어
- 콘텐츠",행사평가,157
"플리마켓인데 너무 적고 품목이 제한적…
미디어아트 실망…ㅠ 시민참여 작품이라도 더 다양하면 좋았을듯…","- 홍보 강화
- 사전 안내 상세화",행사평가,158
홍보,"- 플리마켓 소규모
- 품목 제한
- 미디어아트 실망
- 시민참여 부족
- 다양성 필요",프로그램·먹거리,159
홍보 필요함,"- 프로그램 다양성
- 수용인원 부족
- 예약·마감 다수
- 아쉬움",프로그램·먹거리,160
"홍보가 더 필요.
사전 안내가 더 자세히 안내 되었으면 합니다.",- 홍보 확대,행사평가,161
"홍보가 많이 되지 않았던것 같아요.
어제 저녁 홈플 근처 인원이 많은 것을 보고
찾아온 뒤 행사가 있었다는 것을 알게 되어 오늘 찾아 왔어요!
의미 있는 행사로 매년 하면 아이와 함께 참석하고 싶어요!","- 홍보 강화
- 오전 개최",행사평가,162
홍보를 더 많이 했으면 좋겠다.,"- 홍보 부족
- 홈플 주변 인원 보고 방문, 행사 인지
- 의미 있는 행사, 매년 아이와 참석 희망",행사평가,163
"홍보를 조금 더 적극적으로 하면 많은 사람들이 알 수 있을 것 같다.
행사 시간을 오전에도 진행하였으면 좋겠다.","- 프로그램 이용 1~2시간 뒤 방문 요청, 이용 실패",행사시설환경,164
"화장실 더 필요합니다.
우천에 대비해 이동구간 도로 포장이 필요합니다.",- 화장실 청결도,행사시설환경,165
화장실 청결도,"- 화장실 추가 설치
- 이동구간 도로 포장 우천 대비",행사시설환경,166
휴게공간 (좌석)이 좀 더 생기면 좋겠습니다.,- 휴게공간·좌석 확충,행사시설환경,167
"흙바닥이여서 비가 와서 신발이 더러워짐.
행사 부스 규모가 작아서 줄을 많이 기다려야했음.","- 흙바닥·비, 신발 더러움
- 부스 소형, 대기 길음",행사시설환경,168
"흡연부스가 따로 없는건진 모르지만 아이들과 행사장 참여했는데
 냄새 등 때문에 좋지 않았어요.","- 흡연부스 부재
- 행사장 흡연 냄새
- 아이들 불쾌",행사평가,169
